"table","column","marker","n_records","kind","approved","approved_by","approved_date","note"
"phase_risk.parquet","clock_anchor","days since first calving",1311,"observed","n/a","","","read straight from the export; nothing manufactured"
"disease_cases.parquet","clock_anchor","days since weaning",1241,"observed","n/a","","","read straight from the export; nothing manufactured"
"animals.parquet","exit_reason_source","reason_for_sale",1239,"observed","n/a","","","read straight from the export; nothing manufactured"
"bulls.parquet","weaning_source","weaning_date",1236,"observed","n/a","","","read straight from the export; nothing manufactured"
"phase_risk.parquet","clock_anchor","days since purchase",1097,"observed","n/a","","","read straight from the export; nothing manufactured"
"animals.parquet","weaning_source","none(still nursing)",1006,"observed","n/a","","","read straight from the export; nothing manufactured"
"disease_cases.parquet","clock_anchor","days since birth",904,"observed","n/a","","","read straight from the export; nothing manufactured"
"bulls.parquet","exit_rule","sale_date",851,"observed","n/a","","","read straight from the export; nothing manufactured"
"animals.parquet","entry_rule","purchase_date",728,"observed","n/a","","","read straight from the export; nothing manufactured"
"calf_fates.parquet","c_wean_source","none(still nursing)",531,"observed","n/a","","","read straight from the export; nothing manufactured"
"bulls.parquet","exit_rule","open",526,"observed","n/a","","","read straight from the export; nothing manufactured"
"animals.parquet","exit_rule","death_date",480,"observed","n/a","","","read straight from the export; nothing manufactured"
"animals.parquet","exit_reason_source","cause_of_death",450,"observed","n/a","","","read straight from the export; nothing manufactured"
"bulls.parquet","weaning_source","none(still nursing)",403,"observed","n/a","","","read straight from the export; nothing manufactured"
"bulls.parquet","exit_reason_source","reason_for_sale",334,"observed","n/a","","","read straight from the export; nothing manufactured"
"bulls.parquet","exit_rule","death_date",191,"observed","n/a","","","read straight from the export; nothing manufactured"
"bulls.parquet","exit_reason_source","cause_of_death",182,"observed","n/a","","","read straight from the export; nothing manufactured"
"disease_cases.parquet","clock_anchor","days since first calving",168,"observed","n/a","","","read straight from the export; nothing manufactured"
"disease_cases.parquet","clock_anchor","days since purchase",168,"observed","n/a","","","read straight from the export; nothing manufactured"
"animals.parquet","exit_rule","sale_ticket",129,"observed","n/a","","","read straight from the export; nothing manufactured"
"bulls.parquet","exit_rule","sale_ticket",125,"observed","n/a","","","read straight from the export; nothing manufactured"
"bulls.parquet","entry_rule","purchase_date",43,"observed","n/a","","","read straight from the export; nothing manufactured"
"phase_risk.parquet","clock_anchor","days since first sire use",35,"observed","n/a","","","read straight from the export; nothing manufactured"
"cow_lactations.parquet","start_rule","entry_date",27,"observed","n/a","","","read straight from the export; nothing manufactured"
"animals.parquet","exit_rule","none(entry-only)",24,"observed","n/a","","","read straight from the export; nothing manufactured"
"disease_cases.parquet","clock_anchor","days since first sire use",18,"observed","n/a","","","read straight from the export; nothing manufactured"
"animals.parquet","weaning_source","weaning_measurement",2,"observed","n/a","","","read straight from the export; nothing manufactured"
"bulls.parquet","weaning_source","weaning_measurement",2,"observed","n/a","","","read straight from the export; nothing manufactured"
"calf_fates.parquet","c_wean_source","weaning_measurement",1,"observed","n/a","","","read straight from the export; nothing manufactured"
